model: 2, best: 2, AStype: 2, top: 2, p= 0.971328, second: 6, p= 0.0284279, third: 4, p= 0.000221342
model: 2, best: 2, AStype: 2, top: 2, p= 0.993064, second: 6, p= 0.00678031, third: 4, p= 0.000117618
model: 2, best: 2, AStype: 2, top: 2, p= 0.993863, second: 6, p= 0.00594331, third: 0, p= 0.000177243
model: 2, best: 2, AStype: 2, top: 2, p= 0.977442, second: 6, p= 0.0225248, third: 0, p= 1.82445e-05
model: 2, best: 2, AStype: 3, top: 2, p= 0.969242, second: 6, p= 0.0305422, third: 5, p= 0.000131115
model: 2, best: 2, AStype: 3, top: 2, p= 0.99875, second: 6, p= 0.00124576, third: 4, p= 1.82071e-06
model: 2, best: 2, AStype: 3, top: 2, p= 0.976136, second: 6, p= 0.0227365, third: 8, p= 0.00106481
model: 2, best: 2, AStype: 3, top: 2, p= 0.995345, second: 6, p= 0.00463643, third: 8, p= 1.67054e-05
model: 2, best: 2, AStype: 3, top: 2, p= 0.995842, second: 6, p= 0.00413285, third: 8, p= 1.7854e-05
model: 2, best: 2, AStype: 3, top: 2, p= 0.995695, second: 6, p= 0.00400805, third: 5, p= 0.000192043
model: 2, best: 2, AStype: 3, top: 2, p= 0.997314, second: 6, p= 0.00263525, third: 8, p= 4.63519e-05
model: 2, best: 2, AStype: 3, top: 2, p= 0.979573, second: 6, p= 0.0203463, third: 8, p= 4.10954e-05
model: 2, best: 2, AStype: 3, top: 2, p= 0.995928, second: 6, p= 0.00405667, third: 8, p= 1.45967e-05
model: 2, best: 2, AStype: 3, top: 2, p= 0.997454, second: 6, p= 0.00251195, third: 8, p= 3.10602e-05
model: 3, best: 3, AStype: 1, top: 3, p= 0.999123, second: 9, p= 0.000425739, third: 5, p= 0.000204607
model: 3, best: 3, AStype: 1, top: 3, p= 0.999296, second: 1, p= 0.000669754, third: 7, p= 2.20089e-05
model: 3, best: 3, AStype: 1, top: 3, p= 0.999037, second: 0, p= 0.000849841, third: 9, p= 0.000112512
model: 3, best: 3, AStype: 1, top: 3, p= 0.999897, second: 9, p= 0.000101084, third: 8, p= 8.68817e-07
model: 3, best: 3, AStype: 1, top: 3, p= 0.999537, second: 0, p= 0.000388936, third: 9, p= 3.21591e-05
model: 3, best: 3, AStype: 1, top: 3, p= 0.999287, second: 1, p= 0.000628734, third: 7, p= 6.99277e-05
model: 3, best: 3, AStype: 1, top: 3, p= 0.999639, second: 9, p= 0.000274906, third: 1, p= 3.52242e-05
model: 3, best: 3, AStype: 1, top: 3, p= 0.999979, second: 9, p= 1.37071e-05, third: 5, p= 6.78567e-06
model: 3, best: 3, AStype: 1, top: 3, p= 0.999977, second: 8, p= 8.92342e-06, third: 5, p= 6.67884e-06
model: 3, best: 3, AStype: 1, top: 3, p= 0.999594, second: 5, p= 0.000250102, third: 9, p= 7.68156e-05
model: 3, best: 3, AStype: 2, top: 3, p= 0.999998, second: 5, p= 8.47775e-07, third: 8, p= 6.34567e-07
model: 3, best: 3, AStype: 2, top: 3, p= 0.999997, second: 5, p= 1.52132e-06, third: 9, p= 1.47153e-06
model: 3, best: 3, AStype: 2, top: 3, p= 0.999995, second: 5, p= 3.71276e-06, third: 9, p= 7.21072e-07
model: 3, best: 3, AStype: 2, top: 3, p= 0.999998, second: 9, p= 1.62209e-06, third: 5, p= 1.89011e-07
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 9, p= 1.41816e-07, third: 5, p= 1.0984e-07
model: 3, best: 3, AStype: 2, top: 3, p= 0.999989, second: 9, p= 5.50204e-06, third: 4, p= 1.91596e-06
model: 3, best: 3, AStype: 2, top: 3, p= 0.999999, second: 9, p= 6.12475e-07, third: 5, p= 2.10808e-07
model: 3, best: 3, AStype: 2, top: 3, p= 0.999998, second: 9, p= 6.2787e-07, third: 8, p= 6.08186e-07
model: 3, best: 3, AStype: 2, top: 3, p= 0.999999, second: 9, p= 5.9426e-07, third: 8, p= 2.29466e-07
model: 3, best: 3, AStype: 2, top: 3, p= 0.999896, second: 1, p= 6.34232e-05, third: 5, p= 3.34071e-05
model: 3, best: 3, AStype: 3, top: 3, p= 0.999981, second: 8, p= 1.72211e-05, third: 9, p= 1.12379e-06
model: 3, best: 3, AStype: 3, top: 3, p= 0.999995, second: 9, p= 3.23556e-06, third: 5, p= 1.17722e-06
model: 3, best: 3, AStype: 3, top: 3, p= 0.999995, second: 9, p= 4.82262e-06, third: 5, p= 2.20994e-07
model: 3, best: 3, AStype: 3, top: 3, p= 0.999986, second: 9, p= 7.76027e-06, third: 5, p= 5.19153e-06
model: 3, best: 3, AStype: 3, top: 3, p= 0.999962, second: 9, p= 1.49813e-05, third: 5, p= 1.22754e-05
model: 3, best: 3, AStype: 3, top: 3, p= 0.999988, second: 9, p= 1.1768e-05, third: 1, p= 1.91597e-07
model: 3, best: 3, AStype: 3, top: 3, p= 0.999975, second: 9, p= 1.863e-05, third: 5, p= 4.03001e-06
model: 3, best: 3, AStype: 3, top: 3, p= 0.999987, second: 5, p= 7.14689e-06, third: 9, p= 5.17273e-06
model: 3, best: 3, AStype: 3, top: 3, p= 0.999998, second: 9, p= 1.45428e-06, third: 5, p= 3.96535e-07
