model: 5, best: 5, AStype: 2, top: 5, p= 0.786687, second: 8, p= 0.0933743, third: 0, p= 0.0659275
model: 5, best: 8, AStype: 2, top: 8, p= 0.417703, second: 5, p= 0.407681, third: 1, p= 0.173139
model: 5, best: 5, AStype: 2, top: 5, p= 0.848084, second: 8, p= 0.0407609, third: 0, p= 0.0306639
model: 5, best: 5, AStype: 2, top: 5, p= 0.513834, second: 2, p= 0.231578, third: 6, p= 0.112232
model: 5, best: 5, AStype: 2, top: 5, p= 0.696902, second: 0, p= 0.117987, third: 8, p= 0.110121
model: 5, best: 5, AStype: 2, top: 5, p= 0.767316, second: 8, p= 0.105773, third: 0, p= 0.0707625
model: 5, best: 5, AStype: 2, top: 5, p= 0.470073, second: 2, p= 0.189346, third: 4, p= 0.122328
model: 5, best: 5, AStype: 2, top: 5, p= 0.507938, second: 2, p= 0.207174, third: 4, p= 0.095859
model: 5, best: 5, AStype: 2, top: 5, p= 0.867165, second: 0, p= 0.0418808, third: 1, p= 0.0211331
model: 5, best: 5, AStype: 3, top: 5, p= 0.626123, second: 8, p= 0.130608, third: 3, p= 0.0884614
model: 5, best: 5, AStype: 3, top: 5, p= 0.549571, second: 0, p= 0.162539, third: 3, p= 0.0837211
model: 5, best: 5, AStype: 3, top: 5, p= 0.448107, second: 0, p= 0.223929, third: 3, p= 0.106481
model: 5, best: 5, AStype: 3, top: 5, p= 0.334765, second: 0, p= 0.215616, third: 7, p= 0.128838
model: 5, best: 5, AStype: 3, top: 5, p= 0.497127, second: 2, p= 0.135476, third: 4, p= 0.104053
model: 5, best: 5, AStype: 3, top: 5, p= 0.505468, second: 4, p= 0.130989, third: 2, p= 0.114407
model: 5, best: 5, AStype: 3, top: 5, p= 0.455295, second: 0, p= 0.149463, third: 8, p= 0.128586
model: 5, best: 5, AStype: 3, top: 5, p= 0.671839, second: 8, p= 0.102976, third: 3, p= 0.0602843
model: 5, best: 5, AStype: 3, top: 5, p= 0.455026, second: 9, p= 0.117861, third: 0, p= 0.103437
model: 6, best: 6, AStype: 1, top: 6, p= 0.55817, second: 2, p= 0.339801, third: 0, p= 0.0319989
model: 6, best: 6, AStype: 1, top: 6, p= 0.351785, second: 2, p= 0.235273, third: 1, p= 0.114918
model: 6, best: 6, AStype: 1, top: 6, p= 0.35342, second: 2, p= 0.274457, third: 5, p= 0.152189
model: 6, best: 6, AStype: 1, top: 6, p= 0.291006, second: 2, p= 0.217319, third: 1, p= 0.204758
model: 6, best: 6, AStype: 1, top: 6, p= 0.452694, second: 2, p= 0.24585, third: 4, p= 0.105096
model: 6, best: 2, AStype: 1, top: 2, p= 0.370257, second: 6, p= 0.306401, third: 1, p= 0.1118
model: 6, best: 6, AStype: 1, top: 6, p= 0.336662, second: 2, p= 0.228095, third: 9, p= 0.17363
model: 6, best: 6, AStype: 1, top: 6, p= 0.356912, second: 2, p= 0.236428, third: 4, p= 0.134024
model: 6, best: 6, AStype: 1, top: 6, p= 0.566314, second: 2, p= 0.323751, third: 8, p= 0.0584157
model: 6, best: 6, AStype: 2, top: 6, p= 0.810883, second: 2, p= 0.0810989, third: 8, p= 0.0585476
model: 6, best: 6, AStype: 2, top: 6, p= 0.471604, second: 2, p= 0.214688, third: 8, p= 0.169534
model: 6, best: 6, AStype: 2, top: 6, p= 0.810468, second: 2, p= 0.172462, third: 8, p= 0.00914132
model: 6, best: 6, AStype: 2, top: 6, p= 0.569156, second: 4, p= 0.228263, third: 2, p= 0.145499
model: 6, best: 6, AStype: 2, top: 6, p= 0.537448, second: 4, p= 0.214022, third: 0, p= 0.139004
model: 6, best: 6, AStype: 2, top: 6, p= 0.753041, second: 2, p= 0.225808, third: 8, p= 0.0147344
model: 6, best: 6, AStype: 2, top: 6, p= 0.534905, second: 2, p= 0.376478, third: 4, p= 0.054802
model: 6, best: 6, AStype: 2, top: 6, p= 0.614369, second: 2, p= 0.17501, third: 8, p= 0.110597
model: 6, best: 6, AStype: 2, top: 6, p= 0.537094, second: 8, p= 0.231478, third: 2, p= 0.226987
model: 6, best: 6, AStype: 3, top: 6, p= 0.806259, second: 2, p= 0.192672, third: 8, p= 0.000787299
model: 6, best: 6, AStype: 3, top: 6, p= 0.872699, second: 2, p= 0.126515, third: 8, p= 0.000609721
model: 6, best: 6, AStype: 3, top: 6, p= 0.701813, second: 2, p= 0.182359, third: 5, p= 0.0939266
model: 6, best: 6, AStype: 3, top: 6, p= 0.859016, second: 2, p= 0.139585, third: 8, p= 0.000983182
model: 6, best: 6, AStype: 3, top: 6, p= 0.831838, second: 2, p= 0.165421, third: 8, p= 0.00199011
model: 6, best: 6, AStype: 3, top: 6, p= 0.814922, second: 2, p= 0.184037, third: 8, p= 0.00071494
model: 6, best: 6, AStype: 3, top: 6, p= 0.824672, second: 2, p= 0.174627, third: 8, p= 0.000531375
model: 6, best: 6, AStype: 3, top: 6, p= 0.853703, second: 2, p= 0.145276, third: 8, p= 0.00077451
model: 6, best: 6, AStype: 3, top: 6, p= 0.801059, second: 2, p= 0.195999, third: 8, p= 0.00181214
model: 7, best: 7, AStype: 1, top: 7, p= 0.752332, second: 5, p= 0.0951351, third: 9, p= 0.0686843
model: 7, best: 7, AStype: 1, top: 7, p= 0.46701, second: 9, p= 0.157157, third: 0, p= 0.152703
model: 7, best: 7, AStype: 1, top: 7, p= 0.437113, second: 0, p= 0.138594, third: 1, p= 0.0981627
