model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 9, p= 5.9591e-40, third: 0, p= 5.70127e-42
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 5, p= 9.34866e-65, third: 9, p= 5.19434e-76
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 9, p= 1.73833e-57, third: 0, p= 1.94001e-62
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 9, p= 2.6961e-63, third: 8, p= 2.81262e-69
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 0, p= 2.42214e-57, third: 9, p= 1.22282e-77
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 1, p= 5.13898e-62, third: 7, p= 2.90004e-77
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 5, p= 1.13816e-37, third: 4, p= 4.27264e-44
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 9, p= 4.02046e-58, third: 1, p= 9.26061e-60
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 5, p= 5.13794e-86, third: 1, p= 1.87694e-87
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 9, p= 5.27749e-46, third: 8, p= 6.81127e-47
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 9, p= 4.78131e-48, third: 5, p= 4.6304e-62
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 0, p= 8.26827e-50, third: 8, p= 1.55419e-59
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 4, p= 6.97808e-50, third: 5, p= 1.55319e-52
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 5, p= 1.26862e-52, third: 9, p= 1.70953e-70
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 4, p= 2.53067e-66, third: 5, p= 7.29769e-75
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 9, p= 2.42372e-51, third: 5, p= 5.11844e-58
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 6.84829e-78, third: 5, p= 8.25365e-81
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 0, p= 1.73995e-79, third: 9, p= 1.06257e-81
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 8, p= 2.0103e-67, third: 9, p= 7.88981e-69
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 2.72883e-64, third: 5, p= 7.63991e-81
