model: 4, best: 4, AStype: 2, top: 4, p= 0.999997, second: 0, p= 3.21342e-06, third: 5, p= 2.99494e-09
model: 4, best: 0, AStype: 2, top: 0, p= 0.999979, second: 4, p= 2.1442e-05, third: 9, p= 1.06354e-15
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 0, p= 2.97017e-12, third: 5, p= 1.36948e-13
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 0, p= 1.96794e-09, third: 6, p= 9.2745e-16
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 0, p= 1.52374e-09, third: 5, p= 1.64391e-14
model: 4, best: 4, AStype: 3, top: 4, p= 0.999995, second: 0, p= 5.07991e-06, third: 2, p= 8.53647e-31
model: 4, best: 4, AStype: 3, top: 4, p= 0.999953, second: 0, p= 4.69269e-05, third: 5, p= 5.19962e-18
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 0, p= 2.11077e-12, third: 5, p= 9.47957e-25
model: 4, best: 4, AStype: 3, top: 4, p= 0.999994, second: 9, p= 6.17539e-06, third: 0, p= 2.89885e-07
model: 4, best: 4, AStype: 3, top: 4, p= 0.999999, second: 0, p= 7.02046e-07, third: 5, p= 5.70646e-16
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 0, p= 5.62502e-17, third: 5, p= 6.99534e-32
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 0, p= 5.99979e-16, third: 9, p= 2.43974e-22
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 0, p= 5.5594e-11, third: 4, p= 5.83435e-12
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 3, p= 7.61492e-16, third: 8, p= 3.84573e-17
model: 5, best: 5, AStype: 1, top: 5, p= 0.945074, second: 4, p= 0.0549263, third: 0, p= 4.42008e-09
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 6, p= 4.18133e-18, third: 2, p= 1.85848e-20
model: 5, best: 0, AStype: 1, top: 0, p= 0.560863, second: 5, p= 0.439137, third: 8, p= 1.00941e-09
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 0, p= 2.49078e-12, third: 9, p= 1.5063e-18
model: 5, best: 5, AStype: 1, top: 5, p= 0.99998, second: 4, p= 1.97099e-05, third: 0, p= 1.90368e-10
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 9, p= 6.89769e-14, third: 8, p= 3.43441e-15
