model: 2, best: 2, AStype: 2, top: 2, p= 0.542304, second: 6, p= 0.431513, third: 1, p= 0.0167429
model: 2, best: 2, AStype: 2, top: 2, p= 0.754564, second: 6, p= 0.234694, third: 4, p= 0.00592355
model: 2, best: 2, AStype: 2, top: 2, p= 0.757127, second: 6, p= 0.213234, third: 1, p= 0.0254839
model: 2, best: 2, AStype: 2, top: 2, p= 0.82457, second: 1, p= 0.10293, third: 6, p= 0.0667573
model: 2, best: 2, AStype: 2, top: 2, p= 0.640745, second: 6, p= 0.339138, third: 1, p= 0.00718846
model: 2, best: 2, AStype: 3, top: 2, p= 0.86864, second: 1, p= 0.0664677, third: 6, p= 0.0341353
model: 2, best: 2, AStype: 3, top: 2, p= 0.731547, second: 6, p= 0.156049, third: 9, p= 0.0304544
model: 2, best: 2, AStype: 3, top: 2, p= 0.616914, second: 6, p= 0.147184, third: 9, p= 0.128383
model: 2, best: 2, AStype: 3, top: 2, p= 0.827943, second: 1, p= 0.0776587, third: 6, p= 0.0495387
model: 2, best: 2, AStype: 3, top: 2, p= 0.821225, second: 6, p= 0.0753804, third: 9, p= 0.0709308
model: 2, best: 2, AStype: 3, top: 2, p= 0.744669, second: 6, p= 0.127059, third: 9, p= 0.0667807
model: 2, best: 2, AStype: 3, top: 2, p= 0.727959, second: 6, p= 0.151612, third: 9, p= 0.0483465
model: 2, best: 2, AStype: 3, top: 2, p= 0.852915, second: 1, p= 0.0372298, third: 5, p= 0.0367085
model: 2, best: 2, AStype: 3, top: 2, p= 0.810567, second: 9, p= 0.0768068, third: 6, p= 0.0603446
model: 2, best: 2, AStype: 3, top: 2, p= 0.814351, second: 1, p= 0.0668858, third: 6, p= 0.0609143
model: 3, best: 3, AStype: 1, top: 3, p= 0.807233, second: 8, p= 0.0703549, third: 7, p= 0.0474689
model: 3, best: 3, AStype: 1, top: 3, p= 0.902348, second: 1, p= 0.0691956, third: 5, p= 0.0139752
model: 3, best: 3, AStype: 1, top: 3, p= 0.697269, second: 9, p= 0.0740922, third: 7, p= 0.066651
model: 3, best: 3, AStype: 1, top: 3, p= 0.694261, second: 1, p= 0.21701, third: 9, p= 0.0491678
model: 3, best: 3, AStype: 1, top: 3, p= 0.914489, second: 1, p= 0.0582139, third: 5, p= 0.015008
model: 3, best: 3, AStype: 1, top: 3, p= 0.893179, second: 0, p= 0.0859245, third: 7, p= 0.0141803
model: 3, best: 3, AStype: 1, top: 3, p= 0.771475, second: 1, p= 0.185628, third: 9, p= 0.0266863
model: 3, best: 3, AStype: 1, top: 3, p= 0.789388, second: 1, p= 0.108912, third: 7, p= 0.0363015
model: 3, best: 3, AStype: 1, top: 3, p= 0.900419, second: 1, p= 0.0323179, third: 7, p= 0.0238362
model: 3, best: 3, AStype: 1, top: 3, p= 0.74815, second: 1, p= 0.0755561, third: 7, p= 0.0623732
model: 3, best: 3, AStype: 2, top: 3, p= 0.985538, second: 1, p= 0.00995799, third: 8, p= 0.00171885
model: 3, best: 3, AStype: 2, top: 3, p= 0.927491, second: 1, p= 0.0648581, third: 5, p= 0.00329614
model: 3, best: 3, AStype: 2, top: 3, p= 0.91874, second: 1, p= 0.067952, third: 4, p= 0.00474653
model: 3, best: 3, AStype: 2, top: 3, p= 0.986529, second: 9, p= 0.00702379, third: 5, p= 0.00388917
model: 3, best: 3, AStype: 2, top: 3, p= 0.980619, second: 1, p= 0.013563, third: 7, p= 0.00391774
model: 3, best: 3, AStype: 2, top: 3, p= 0.987911, second: 1, p= 0.00586295, third: 9, p= 0.00303113
model: 3, best: 3, AStype: 2, top: 3, p= 0.939673, second: 8, p= 0.0500297, third: 5, p= 0.00934612
model: 3, best: 3, AStype: 2, top: 3, p= 0.981207, second: 1, p= 0.0121375, third: 5, p= 0.00436271
model: 3, best: 3, AStype: 2, top: 3, p= 0.981417, second: 1, p= 0.00928093, third: 8, p= 0.00372346
model: 3, best: 3, AStype: 2, top: 3, p= 0.929269, second: 1, p= 0.0465319, third: 5, p= 0.0149743
model: 3, best: 3, AStype: 3, top: 3, p= 0.991927, second: 5, p= 0.00242227, third: 1, p= 0.00220929
model: 3, best: 3, AStype: 3, top: 3, p= 0.986683, second: 1, p= 0.00486259, third: 7, p= 0.00416736
model: 3, best: 3, AStype: 3, top: 3, p= 0.991169, second: 1, p= 0.00423535, third: 5, p= 0.00229285
model: 3, best: 3, AStype: 3, top: 3, p= 0.990775, second: 1, p= 0.00401779, third: 4, p= 0.0019101
model: 3, best: 3, AStype: 3, top: 3, p= 0.98932, second: 1, p= 0.00399046, third: 4, p= 0.00303822
model: 3, best: 3, AStype: 3, top: 3, p= 0.984817, second: 4, p= 0.00523003, third: 5, p= 0.00398504
model: 3, best: 3, AStype: 3, top: 3, p= 0.991985, second: 1, p= 0.0031008, third: 9, p= 0.00141731
model: 3, best: 3, AStype: 3, top: 3, p= 0.993587, second: 1, p= 0.00241102, third: 8, p= 0.00234424
model: 3, best: 3, AStype: 3, top: 3, p= 0.975264, second: 8, p= 0.0101052, third: 1, p= 0.00644332
model: 3, best: 3, AStype: 3, top: 3, p= 0.987988, second: 1, p= 0.00355357, third: 4, p= 0.0026633
model: 4, best: 4, AStype: 1, top: 4, p= 0.619386, second: 5, p= 0.257491, third: 7, p= 0.0753143
model: 4, best: 4, AStype: 1, top: 4, p= 0.876415, second: 1, p= 0.0828819, third: 5, p= 0.0151859
model: 4, best: 4, AStype: 1, top: 4, p= 0.696408, second: 1, p= 0.141924, third: 5, p= 0.13698
model: 4, best: 4, AStype: 1, top: 4, p= 0.661658, second: 5, p= 0.216414, third: 1, p= 0.0979765
model: 4, best: 4, AStype: 1, top: 4, p= 0.776414, second: 1, p= 0.0990499, third: 9, p= 0.0905444
model: 4, best: 4, AStype: 1, top: 4, p= 0.788305, second: 9, p= 0.131013, third: 2, p= 0.0272346
model: 4, best: 4, AStype: 1, top: 4, p= 0.571315, second: 3, p= 0.284615, third: 1, p= 0.117981
model: 4, best: 4, AStype: 1, top: 4, p= 0.561877, second: 1, p= 0.214733, third: 3, p= 0.11073
model: 4, best: 4, AStype: 1, top: 4, p= 0.89758, second: 5, p= 0.065625, third: 3, p= 0.0215053
model: 4, best: 4, AStype: 1, top: 4, p= 0.912802, second: 1, p= 0.0844222, third: 5, p= 0.00211292
model: 4, best: 4, AStype: 2, top: 4, p= 0.755421, second: 9, p= 0.161711, third: 1, p= 0.0333394
